subjectName,constructName,latex_formatted_question,question,latext_formatted_wrongAnswer,wrongAnswer,misconception,latex_formatted_wrongAnswer
BIDMAS,Use the order of operations to carry out calculations involving powers,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",     3 × 2+4-5  Where do the brackets need to go to make the answer equal 13 ?,Does not need brackets,Does not need brackets,"1672    Confuses the order of operations, believes add...
Name: MisconceptionName, dtype: object",
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)","Simplify the following, if possible: m^2+2 m-3/m-3",,m+1,"2142    Does not know that to factorise a quadratic ex...
Name: MisconceptionName, dtype: object",\( m+1 \)
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)","Simplify the following, if possible: m^2+2 m-3/m-3",\( m+2 \),m+2,"143    Thinks that when you cancel identical terms fr...
Name: MisconceptionName, dtype: object",
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)","Simplify the following, if possible: m^2+2 m-3/m-3",\( m-1 \),m-1,"2142    Does not know that to factorise a quadratic ex...
Name: MisconceptionName, dtype: object",
Range and Interquartile Range from a List of Data,Calculate the range from a list of data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Tom and Katie are discussing the 5 plants with these heights: 24  cm, 17  cm, 42  cm, 26  cm, 13  cm Tom says if all the plants were cut in half, the range wouldn't change. Katie says if all the plants grew by 3  cm each, the range wouldn't change. Who do you agree with?",,Only Tom,"1287    Believes if you changed all values by the same...
Name: MisconceptionName, dtype: object","Only
Tom"
Range and Interquartile Range from a List of Data,Calculate the range from a list of data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Tom and Katie are discussing the 5 plants with these heights: 24  cm, 17  cm, 42  cm, 26  cm, 13  cm Tom says if all the plants were cut in half, the range wouldn't change. Katie says if all the plants grew by 3  cm each, the range wouldn't change. Who do you agree with?",Both Tom and Katie,Both Tom and Katie,"1287    Believes if you changed all values by the same...
Name: MisconceptionName, dtype: object",
Range and Interquartile Range from a List of Data,Calculate the range from a list of data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Tom and Katie are discussing the 5 plants with these heights: 24  cm, 17  cm, 42  cm, 26  cm, 13  cm Tom says if all the plants were cut in half, the range wouldn't change. Katie says if all the plants grew by 3  cm each, the range wouldn't change. Who do you agree with?",Neither is correct,Neither is correct,"1073    Believes if you add the same value to all numb...
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Recall and use the intersecting diagonals properties of a rectangle,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),,acute,"1180    Does not know the properties of a rectangle
Name: MisconceptionName, dtype: object",acute
Properties of Quadrilaterals,Recall and use the intersecting diagonals properties of a rectangle,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),obtuse,obtuse,"1180    Does not know the properties of a rectangle
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Recall and use the intersecting diagonals properties of a rectangle,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Not enough information,Not enough information,"1180    Does not know the properties of a rectangle
Name: MisconceptionName, dtype: object",
