text,label
"Sharing in a Ratio Given information about one part, work out other parts To make green paint, you mix blue paint with yellow paint in the ratio 5: 3. What should replace the star?  Blue     Yellow     Total   1500 ml        4500 ml","1646    In ratio question where one side of ratio is g...
Name: MisconceptionName, dtype: object"
"Real Life Graphs Read values off a speed-time graph This velocity-time graph shows the first 5 seconds of Mo's journey which starts at home.  At what time did he first start travelling at 4  m / s ? ![The image is of a graph. Its vertical axis labelled Velocity (m/s) and has the scale 0, 2, 4, 6 marked in even steps. Its horizontal axis is labelled Time (secs) and has the scale 0, 1, 2, 3, 4, 5 marked in even steps.  The graph is in three sections. The first section is a straight slanted line from (0,0) to (1, 4). The second section is a horizontal line from (1, 4) to (3, 4). The third section is a slanted line from (3, 4) to (5, 0).]() 4 secs","11    When reading value from graph, reads from the ...
Name: MisconceptionName, dtype: object"
"Angle Facts with Parallel Lines Identify corresponding angles M and N are the intersections of the line X Y with the lines P Q and R S. Which angle is corresponding to angle QMY? ![A pair of parallel lines pointing up to the left. PQ and RS are the ends of the parallel lines. PQ is on the left of the diagram with Q being the top left. A red straight line, XY, crosses the parallel lines. X is on the left of the diagram. Line XY crosses line PQ at a point marked M. Line XY crosses line RS at a point marked N. The angle QMY is marked in red.]() XNR","2454    Confuses corresponding and alternate angles
Name: MisconceptionName, dtype: object"
"Factorising into a Single Bracket Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a) Factorise this expression, if possible: p^2+100 p Does not factorise","3    Thinks a quadratic without a non variable term...
Name: MisconceptionName, dtype: object"
Multiplying and Dividing with Decimals Multiply a decimal by an integer Tom and Katie are discussing multiplying decimals.  Tom says 5 × 3.9=3 × 5.9  Katie says 5 × 3.9=3.9 × 5  Who is correct? Neither is correct,"638    Believes multiplication is not commutative
Name: MisconceptionName, dtype: object"
Parts of a Circle Identify a radius What is the correct name for the line marked on the circle? ![A circle with a line from the centre of the circle to the circumference.]() Diameter,"1686    Confuses diameter and radius
Name: MisconceptionName, dtype: object"
Adding and Subtracting Negative Numbers Carry out subtraction problems involving two negative integers  What number belongs in the box? (-8)-(-5)= □ 3,"1435    When subtracting from a negative thinks the an...
Name: MisconceptionName, dtype: object"
BIDMAS Use the order of operations to carry out calculations involving brackets      9-8+5  Jo and Paul are trying to make the calculation above equal to 6. Jo says you can write it like this: 9-(8+5) Paul says you can leave it like this: 9-8+5 Who is correct? Neither is correct,"2306    Applies BIDMAS in strict order (does not reali...
Name: MisconceptionName, dtype: object"
"Linear Sequences (nth term) Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one Here are the first 4 terms of a linear sequence. ![A sequence of 4 patterns, that are the first 4 terms of a sequence. The first  pattern is a rectangle, made of 3 squares stacked vertically. The second  pattern is an L shape made of 4 squares, it is the same as the first pattern but with 1 square stuck to the right of the square that is at the bottom of the rectangle. The 3rd pattern is an L shape made of 5 squares. It is the same as the 2nd pattern but with 1 more square added to the right of the squares at the bottom. The 4th pattern is an L shape made of 6 squares. It is the same as the 3rd pattern but with 1 more square added to the right of the squares at the bottom ]() How many squares would be in the 10^th term? 30","1582    Thinks terms in linear sequence are in direct ...
Name: MisconceptionName, dtype: object"
Linear Sequences (nth term) Find the nth term rule for a descending integer linear sequence Here are the first three terms of a sequence ![[ 98 92 86  … ]]() Find an expression for the nth term of this sequence. 6 n+92,"2016    Believes the nth term of a descending sequence...
Name: MisconceptionName, dtype: object"
