text,label
angles in triangles find missing angles in a scalene triangle what is the size of angle \ p \ a triangle with angles labelled 49 degrees 51 degrees and p not to scale not enough information,0
measuring angles identify the number of degrees in fractions of a turn how many degrees are there in \ 1 \frac{1}{4} \ full turns \ 125^{\circ} \,2
factorising into a single bracket factorise a single bracket containing a nonlinear expression by taking out a single algebraic common factor eg a factorise this expression if possible \ p^{2}100 p \ does not factorise,3
simplifying expressions by collecting like terms simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables simplify if possible \ ca \ \ c^{a} \,4
simplifying expressions by collecting like terms simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable simplify if possible \ z5 \ \ z^{5} \,4
basic angle facts straight line opposite around a point etc recognise the angles on a straight line relationship two angles meeting on a straight line labelled a degrees and b degrees which of the following is true \ ab90^{\circ} \,9
real life graphs read values off a speedtime graph this velocitytime graph shows the first \ 5 \ seconds of mos journey which starts at home at what time did he first start travelling at \ 4 \mathrm{m} \mathrm{s} \ the image is of a graph its vertical axis labelled velocity ms and has the scale 0 2 4 6 marked in even steps its horizontal axis is labelled time secs and has the scale 0 1 2 3 4 5 marked in even steps the graph is in three sections the first section is a straight slanted line from 00 to 1 4 the second section is a horizontal line from 1 4 to 3 4 the third section is a slanted line from 3 4 to 5 0 \ 4 \ secs,11
graphical solution of simultaneous equations interpret the graphical solution to a pair of linear simultaneous equations from a diagram the cost of journeys from two taxi companies is shown on the diagram after how many miles is company p more expensive than company q a graph showing cost on the y axis and distance miles on the x axis y axis from 0 to 30 each square goes up by 5 and x axis from 0 to 6 each square goes up by 1 a blue line slopes upwards from left to right from 0 10 it is labelled company q a red line slopes upwards from left to right from 00 it is labelled company p both lines go through 5 20 \ 20 \,11
other graphsothers read values from piecewise functions tom has correctly drawn the graph of the following function \ y\left\{\begin{array}{c} p \text { for } 0 \leq xq \\ 25 \text { for } 2 \leq x4 \\ 1 \text { for } 4 \leq x \leq 6 \end{array}\right \ what are the values of \ p \ and q the graph is three separate horizontal lines it goes from 035 to 2 35 then 2 25 to 4 25 and the last section is from 4 1 to 6 1 \ \begin{array}{c}p2 \\ q35\end{array} \,11
direct proportion read values off a real life graph this is a conversion graph between kilograms and pounds which of the following is the best estimate for the number of kilograms equivalent to \ 20 \ pounds a graph on gridded paper with pounds lb on the y axis from 0 to 80 and kilograms kg on the x axis from 0 to 80 both axis are labelled in increments of 20 with each increment split by gridlines into another 4 squares a straight line goes from the origin and sloped upwards going through 25 55 not labelled just a coordinate that it goes through \ 44 \ kilograms,11
time series and line graphs interpret continuous data using a line graph this graph shows how much a block of ice melted over time a line graph with the xaxis titled time minutes the xaxis scale is labelled from 0 to 5 in steps of 1 minute the yaxis is titled water depth cm and the scale is labelled from 0 to 12 in steps of 2 the following points are plotted and joined together 0 0112 33 64 95 10 what was the difference between the first minute and third minute \ 2 \mathrm{cm} \,11
writing expressions given an equation form or identify related equations tom and katie are discussing this equation \ xy12 \ tom uses the equation to write \ 3 x3 y36 \ katie uses the equation to write \ x2 y24 \ who has written a related linear equation neither is correct,14
converting mixed number and improper fractions convert from improper fractions to mixed number fractions convert this into a mixed number fraction \ \frac{13}{5} \ \ 13 \frac{1}{5} \,20
sharing in a ratio divide a quantity into two parts for a given a ratio where each part is an integer share \ 360 \ in the ratio \ 2 7 \ \ 100 160 \,21
place value express words as 5 digit numbers and above how do you write this number in digits fiftysix thousand and thirteen \ 560013 \,22
bidmas answer fraction problems that require the use of bidmas \ \frac{1}{4} \times\left\frac{2}{3}\right^{2} \ \ \frac{1}{6} \,27
angles in polygons work out the size of each interior angle in a regular polygon the octagon below is regular find angle \ x \ a regular octagon 8 sided polygon each side is marked with a single dash to show that all sides are equal in length one of the interior angles of the octagon is labelled with the letter x \ 45^{\circ} \,28
adding and subtracting fractions add proper fractions with the same denominator work out \ \frac{4}{11}\frac{7}{11} \ write your answer in its simplest form \ \frac{11}{11} \,29
writing expressions represent an equation using a bar model tom and katie are discussing bar models tom says this bar model represents \ 2 x \ \begin{tabular}{ll} \hline \ 2 \ \ x \ \\ \hline \end{tabular} katie says this bar model represents \ 2 x \ \begin{tabular}{ll} \hline\ x \ \ x \ \\ \hline \end{tabular} who do you agree with neither is correct,31
linear equations write a formula to describe a situation jodie was \ y \ years old on her birthday \ 3 \ years ago her father was \ 43 \ years old this year jodie is half her fathers age which answer does not correctly represent this scenario a bar model showing a bar for jodies age as y 3 which is half the width of her fathers bar her fathers bar is shown as 46 in total split into 2 lots of 23,31
writing expressions represent an equation using a bar model tom and katie are discussing bar models tom says this bar model represents \ 5 x \ \begin{tabular}{ll} \hline \ 5 \ \ x \ \\ \hline \end{tabular} katie says this bar model represents \ 5 x \ \begin{tabular}{lllll} \ x \ \ x \ \ x \ \ x \ \ x \ \\ \hline \end{tabular} who do you agree with neither is correct,31
substitution into formula given an equation form or identify related equations \ 3 k2m2 \ using the diagram on the right is the expression above a bar model where the same length is represented by either 3 lengths of k or 1 length of m need more information,31
substitution into formula given an equation form or identify related equations \k\frac{m}{3} 1\ using the diagram on the right is the expression above a bar model where the same length is represented by either 3 lengths of k or 1 length of m need more information,31
quadratic sequences generate an ascending quadratic sequence from the nth term rule in the form ax bx c find the first \ 2 \ numbers in the sequence using the \ n \th term \ 4 n^{2}2 n5 \ \ 1363 \,32
types naming and estimating label angles using correct 3letter notation eg angle adb which of the following is a correct way to describe the marked angle trapezium pqrs with angle qps highlighted in red qprs,33
angles in polygons work out the size of each interior angle in a regular polygon what is the size of each interior angle in a regular hexagon \ 135^{\degree} \,35
enlargement enlarge a shape with a centre of enlargement given by a positive scale factor bigger than 1 where the centre of enlargement lies on the edge or outside of the object the triangle is enlarged by scale factor \ 3 \ with the centre of enlargement at \ 10 \ what are the new coordinates of the point marked \ t \ a coordinate grid with the xaxis going from 1 to 10 and the yaxis going from 1 to 7 3 points are plotted and joined with straight lines to form a triangle the points are 11 14 and 31 point 31 is labelled as t point 10 is also plotted \ 93 \,36
solving linear inequalities solve onestep linear inequalities in one variable where the variable appears on one side of the equation solve the inequality \3p1\ \ p2 \,38
converting between decimals and percentages convert decimals less than 1 with 2 decimal place to percentages \ 00157 \ \ \ 67 \ \,39
converting between decimals and percentages convert decimals less than 1 with 2 decimal place to percentages convert this decimal to a percentage \ 007 \ \ 70 \ \,39
venn diagrams identify the regions on a double venn diagram given in set notation which elements isare in \ p^{\prime} \ a diagram showing a venn diagram of 2 circles the left cicle is for set p and contains cat in its left part horse in the intersection the right circle is for set q and contains goat in its right part horse in the intersection outside of the circles it says toad horse goat toad,42
venn diagrams identify the regions on a double venn diagram given in set notation which elements isare in \ p^{\prime} \ a diagram showing a venn diagram of 2 circles the left circle is for set p and contains crisps in its left part sweets in the intersection the right circle is for set q and contains pizza in its right part sweets in the intersection outside of the circles it says chocolate sweets pizza chocolate,42
angle facts with parallel lines find missing angles on parallel lines using corresponding angles calculate \ t \ two parallel horizontal lines with a transversal the lower interior angle to the right of the transversal is marked t the angle to the right of the transversal and lying above the upper parallel line is marked 78 \ t282^{\circ} \,48
angle facts with parallel lines find missing angles on parallel lines using corresponding angles calculate the missing angle two vertical lines marked with arrows are crossed by one diagonal line two angles are marked they are both on the upper side of the diagonal line and to the right of the vertical lines one is marked 70 the other \ 290^{\circ} \,48
plotting lines from tables of values given a positive y value find an x value in a table of values for lines in the form y mx c this is a part of the table of values for the equation \ y6 x \ \begin{tabular}{ll} \hline\ x \ \\bigstar\ \\ \hline\ y \ \ 0 \ \\ \hline \end{tabular} what should replace the star there is no possible solution,49
basic angle facts straight line opposite around a point etc use angles around a point to form and solve algebraic equations two angles around a point labelled 2y and y what is the size of angle \ y \ not enough information,51
simplifying expressions by collecting like terms simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable what could go in the missing gaps \begin{tabular}{llll} \hline \multicolumn{4}{c}{\ 8 a7 \} \\ \hline \ 3 a \ \ 3 \ \ \ \ \ \\ \hline \end{tabular} \ 5 a \ and \ 4 \,55
plotting lines from tables of values determine if a given point lies on a line jo and paul are arguing about points on the line \4 x5 y20\ jo says \ 104 \ lies on the line \ \mathbf{4 x}\mathbf{5 y}\mathbf{2 0} \ paul says \ 410 \ lies on the line \ \mathbf{4} \boldsymbol{x}\mathbf{5 y}\mathbf{2 0} \ who is correct only jo,55
distance between two coordinates substitute negative integer values into expressions involving no powers or roots amy is trying to work out the distance between these two points \ 16 \ and \ 52 \ she labels them like this \ \begin{array}{rrrr}x_{1} y_{1} x_{2} y_{2} \\ 1 6 5 2\end{array} \ and then decides to use this formula \ \sqrt{\leftx_{2}x_{1}\right^{2}\lefty_{2}y_{1}\right^{2}} \ what does the second bracket equal \ 4^{2} \,55
linear equations given a sketch of a linear graph solve fx n this is the graph of \ y505 x \ according to the graph what is the solution to \ 505 x6 \ graph showing straight line with y intercept 05 and x intercept 100 \ x10 \,57
linear equations given a sketch of a linear graph solve fx n this is the graph of \ y05 x2 \ according to the graph what is the solution to \ 05 x21 \ graph showing straight line with y intercept 02 and x intercept 40 \ x4 \,57
written division divide integers up to 2 digits using long division when using longdivision to solve this problem what digit should replace the triangle to give the correct answer quotient division sum written out in bus stop format with dividend 92 divisor 4 the digits of the quotient are represented by a yellow star and a purple triangle \ 1 \,58
written multiplication multiply 2 digit integers by 2 digit integers using long multiplication \ \begin{array}{r}\quad58 \\ \times 22 \\ \hline\end{array} \ what number will be in the onesunits column of the final answer \ 1 \,60
converting between fractions and percentages solve problems involving converting between fractions decimals and percentages \ 04\frac{2}{5} \ \ \ 4 \ \,61
converting between fractions and percentages solve problems involving converting between fractions decimals and percentages \ 02\frac{1}{5} \ \ \ 2 \ \,61
converting between decimals and percentages convert decimals less than 1 with 2 decimal place to percentages what is \ 007 \ written as a percentage \ 07 \ \,61
converting between decimals and percentages convert decimals less than 1 with 2 decimal place to percentages write \ 015 \ as a percentage \ 15 \ \,61
squares cubes etc calculate the cube of a number what is the value of \ 3 \ cubed \ 333 \,66
writing expressions recognise and name an equation which of the following is the most appropriate word to describe \ 63 g3 \ term,68
writing expressions recognise and name a term which of the following is the most appropriate word to describe \ 3 g \ in this \ 63 g \ equation,68
block graphs and bar charts interpret a bar chart the bar chart shows the drinks sold in carolines caf on monday and tuesday last week approximately how many teas were sold on tuesday composite bar chart with four bars labelled tea coffee hot choc and cans each bar has two sections the lower one shows how many sold on monday and the upper one showing tuesdays sales the vertical scale has 5 ticks between 0 and 50 50 and 100 etc the teas bar lower section is 1 tick below 50 on the vertical scale and the whole bars height is 2 ticks above 100 on the vertical scale \ 120 \,70
volume of prisms calculate the volume of other prisms when the dimensions are given in the same units what is the area of the shaded face a prism of length 11mm the crosssection which is shaded is a trapezium the perpendicular height of the trapezium is 6mm the two parallel sides of the trapezium are 6mm and 10mm \ 150 \mathrm{mm}^{2} \,71
area of simple shapes calculate the area of a parallelogram where the dimensions are given in the same units what is the area of the parallelogram a parallelogram with length 7cm perpendicular height marked by a right angle 3cm and slanted height 4cm not to scale \ 84 \mathrm{cm}^{2} \,71
area of simple shapes calculate the area of a rightangled triangle where the dimensions are given in the same units what is the area of this triangle a right angled triangle with base length 11cm slant height 13 cm and perpendicular height 8cm \ 1144 \mathrm{cm}^{2} \,71
area of simple shapes calculate the area of an equilateral triangle where the dimensions are given in the same units how would you calculate the area of this triangle a triangle base 12m all three sides are equal \ \frac{12 \times 12 \times 12}{2} \,71
linear equations solve twostep linear equations with the variable on one side with all positive integers isaac is trying to solve the equation on the right here are his steps which steps if any are correct \ 2791k \ step \ 1 \quad 31k \ step \ 2 \ \ 2k \ only step \ 2 \,74
linear equations solve twostep linear equations with the variable on one side with all positive integers jo and paul are arguing about a first step to solve this equation \ 6m424 \ jo says you can write \ m44 \ paul says you can write \ 6 m20 \ who is correct neither is correct,74
graphs of exponentials and other powers of x recognise an exponential graph from its shape which of the following is most likely to be the graph of a exponential function a curved graph an upside down symmetrical u shape it starts in the bottom left travels steeply up and right turns at a point on the yaxis above the origin and travels steeply right and down,76
